"","url","time_seconds","status","cache"
"total...1","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.9&lng=-67.1",0.221801,200,"Hit from cloudfront"
"total...2","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.7&lng=-68.1",0.015021,200,"Hit from cloudfront"
"total...3","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.7&lng=-67.5",0.13022,200,"Hit from cloudfront"
"total...4","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.7&lng=-67.4",0.18447,200,"Hit from cloudfront"
"total...5","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.6&lng=-68.2",0.02072,200,"Hit from cloudfront"
"total...6","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.6&lng=-68.1",0.014386,200,"Hit from cloudfront"
"total...7","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.6&lng=-68",0.087281,200,"Hit from cloudfront"
"total...8","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.6&lng=-67.7",0.135246,200,"Hit from cloudfront"
"total...9","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.6&lng=-67.4",0.014467,200,"Hit from cloudfront"
"total...10","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.5&lng=-68.3",0.133903,200,"Hit from cloudfront"
"total...11","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.5&lng=-68.2",0.122111,200,"Hit from cloudfront"
"total...12","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.5&lng=-68.1",0.324794,200,"Hit from cloudfront"
"total...13","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.4&lng=-69.7",0.016626,200,"Hit from cloudfront"
"total...14","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.4&lng=-69.5",0.016085,200,"Hit from cloudfront"
"total...15","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.4&lng=-69.4",0.192081,200,"Hit from cloudfront"
"total...16","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.4&lng=-69.3",0.136855,200,"Hit from cloudfront"
"total...17","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.4&lng=-68.9",0.016388,200,"Hit from cloudfront"
"total...18","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.4&lng=-68.8",0.18279,200,"Hit from cloudfront"
"total...19","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.4&lng=-68.7",0.018511,200,"Hit from cloudfront"
"total...20","https://merit.internetofwater.app/processes/river-runner/execution?lat=-55.4&lng=-68.6",0.030842,200,"Hit from cloudfront"
